event_cause,latitude,longitude,priority,requires_road_closure,duration_min
tree_fall,12.9124656,77.5805324,Low,0,1228.0686473666667
vehicle_breakdown,13.0378641,77.5222897,High,0,86.29591815
vehicle_breakdown,13.0436683,77.6067467,High,0,18.84050655
vehicle_breakdown,13.0145688,77.5835164,High,0,23.641425966666667
vehicle_breakdown,13.0186759,77.5588615,High,0,36.504006333333336
vehicle_breakdown,12.9494883,77.5368741,High,1,23.382822833333332
vehicle_breakdown,13.0229482,77.601028,Low,0,104.21347743333334
vehicle_breakdown,12.9928917,77.5854867,High,0,86.29412574999999
vehicle_breakdown,12.9625233,77.6415686,High,0,70.8526748
vehicle_breakdown,12.9891874,77.5070709,High,0,72.9697583
construction,13.16120295,77.62691818,High,0,60.798384383333335
others,12.8569988,77.5889807,High,0,119.59072880000001
vehicle_breakdown,12.9446407,77.5969852,Low,0,78.98550595
vehicle_breakdown,13.0414238,77.545608,High,0,138.03128305
vehicle_breakdown,12.95983785,77.64811735,High,0,28.376774483333335
vehicle_breakdown,12.9197329,77.5835635,Low,0,93.05635131666666
vehicle_breakdown,12.8885722,77.640446,High,0,11.49699995
construction,13.0450698,77.6440587,Low,0,9655.520589099999
vehicle_breakdown,12.9541849,77.5435568,High,0,66.23017465000001
others,12.9679023,77.5680413,Low,0,199.88949181666666
vehicle_breakdown,12.9013118,77.6322397,High,0,75.03727443333334
others,13.0379483,77.6257684,High,0,43.87439846666667
vehicle_breakdown,13.0176948,77.553788,High,0,22.174727083333334
tree_fall,12.9441328,77.5010682,Low,1,105.48940756666666
tree_fall,12.8785528,77.6720521,Low,0,2198.129693766667
vehicle_breakdown,12.9643404,77.5855854,High,0,57.51257438333334
tree_fall,12.8785573,77.6719048,Low,0,2195.455855816667
vehicle_breakdown,13.0451384,77.5070153,High,0,33.33879541666667
vehicle_breakdown,12.9474732,77.5340694,High,0,39.6093981
vehicle_breakdown,13.0355513,77.5265219,High,0,10.150965166666667
tree_fall,12.92335,77.58296,Low,1,66.3340463
vehicle_breakdown,12.9390583,77.6946217,High,0,19.115834
tree_fall,12.8509801,77.6601903,Low,0,64.12170315
others,13.0145576,77.5696436,Low,1,42.96236663333333
road_conditions,12.9697862,77.7499252,Low,0,1107.1190462833333
others,12.9228111,77.7365506,Low,0,87.31756581666667
vehicle_breakdown,12.96652735,77.60810502,High,0,66.13607151666666
vehicle_breakdown,12.926187,77.6772301,High,0,13.551236183333334
vehicle_breakdown,13.029877,77.5377738,High,0,30.63011775
vehicle_breakdown,12.8353407,77.6791817,Low,0,18.7735204
vehicle_breakdown,12.9163498,77.6122067,Low,0,77.0688961
water_logging,12.9616717,77.6308433,Low,0,820.8788695333334
others,12.9827733,77.5622665,Low,0,25.367629383333334
vehicle_breakdown,12.9520875,77.5407653,High,0,15.771932999999999
accident,12.9595784,77.6492766,High,0,35.956496816666665
vehicle_breakdown,12.9557117,77.6916217,High,0,27.47141106666667
others,12.9379783,77.5214433,High,0,1922.4556106166667
others,12.9357223,77.5134413,High,0,17.062712316666666
vehicle_breakdown,13.0200506,77.7094059,Low,0,35.281999049999996
others,12.9137365,77.6774246,Low,0,1.0946760500000001
others,12.9137307,77.6775918,Low,0,3015.3421913166667
vehicle_breakdown,12.9061591,77.5856052,High,0,20.211203416666667
vehicle_breakdown,12.9964326,77.5846186,High,0,141.64393971666667
accident,12.9735765,77.5693008,Low,0,78.2774947
vehicle_breakdown,12.9354371,77.536311,High,0,36.08605643333333
vehicle_breakdown,12.8878816,77.6407286,High,0,31.520573033333335
construction,12.9692805,77.7006521,High,0,8801.107604216666
vehicle_breakdown,13.0451892,77.5070112,High,0,132.2670364
vehicle_breakdown,12.9898004,77.5721914,Low,0,72.34147603333332
vehicle_breakdown,12.92227542,77.61942577,High,0,96.5241556
others,12.913843,77.6774956,Low,0,2522.9359043
tree_fall,13.0386532,77.5740578,Low,0,508.2992390666667
vehicle_breakdown,12.9154072,77.5653126,High,0,75.99775528333333
vehicle_breakdown,12.961075,77.6373946,High,0,10.359373833333333
vehicle_breakdown,13.03895,77.5895433,High,0,10.859754400000002
vehicle_breakdown,12.9955054,77.6656028,High,0,80.29286535
vehicle_breakdown,12.9241031,77.6488026,High,0,16.53580991666667
others,12.9329717,77.5086981,High,0,36.87994801666667
vehicle_breakdown,12.9930661,77.6072646,Low,0,83.28090113333333
vehicle_breakdown,12.9946463,77.757638,Low,0,23.753298683333334
vehicle_breakdown,12.8404633,77.6521017,Low,0,73.46585520000001
vehicle_breakdown,12.990066,77.5051704,High,0,72.26638113333334
vehicle_breakdown,13.0332299,77.5882243,High,0,92.67076003333334
vehicle_breakdown,12.9559289,77.5459051,High,0,14.5656122
vehicle_breakdown,13.0198953,77.7095235,Low,0,12.90432295
vehicle_breakdown,13.030071,77.536943,High,0,102.77983354999999
others,13.1025028,77.5994852,High,0,1654.0888025333334
vehicle_breakdown,13.0455545,77.505774,High,0,104.3606748
vehicle_breakdown,12.99601,77.75823,Low,0,11.195320116666666
vehicle_breakdown,12.9519615,77.4996318,Low,0,79.53191238333334
accident,13.0982087,77.5712693,Low,0,0.8491233333333333
vehicle_breakdown,12.9605694,77.5042779,Low,0,17.161744300000002
vehicle_breakdown,12.9485683,77.5934648,Low,0,69.83975466666668
vehicle_breakdown,13.0290051,77.5402099,High,0,10.261219083333334
vehicle_breakdown,13.0102,77.5903783,Low,0,15.854282233333333
vehicle_breakdown,12.9592991,77.6545459,High,0,40.82496125
vehicle_breakdown,12.9675759,77.6063726,High,0,39.93153236666667
tree_fall,12.9392078,77.5800529,Low,1,52.854736083333336
water_logging,12.948058,77.5739248,Low,0,45.86103
others,12.975762,77.5646846,High,0,24.955134649999998
vehicle_breakdown,12.9156273,77.5694489,Low,0,22.23222121666667
vehicle_breakdown,13.2675104,77.7198706,Low,0,32.981926566666665
vehicle_breakdown,12.9443726,77.597203,Low,1,24.749764333333335
vehicle_breakdown,12.9879767,77.5094764,High,0,107.40422818333333
water_logging,12.966254,77.625327,Low,0,634.7593560833334
tree_fall,12.9063647,77.5797301,High,0,628.0100223833334
vehicle_breakdown,12.9454287,77.5282021,High,0,39.407815049999996
accident,13.0379984,77.5219185,High,0,34.37267258333333
vehicle_breakdown,13.0456229,77.5063447,High,0,45.264776866666665
vehicle_breakdown,12.9481048,77.5732898,Low,0,45.61544075
vehicle_breakdown,12.9897616,77.5020282,High,0,77.75613968333333
others,12.9694415,77.7006984,High,0,170.56828548333334
others,13.0020031,77.6796905,High,0,18.06991683333333
vehicle_breakdown,13.0418888,77.5476664,High,0,90.19006885
water_logging,12.9613179,77.6318647,Low,0,1043.3983678333332
vehicle_breakdown,13.0757816,77.5904347,High,0,12.225998116666666
water_logging,12.9613255,77.6317795,Low,0,1039.9556850166666
water_logging,13.0102806,77.6978433,Low,0,3481.07047895
tree_fall,12.9289423,77.6179915,High,0,62.19627536666667
vehicle_breakdown,13.0929683,77.59668,High,0,76.96167763333332
vehicle_breakdown,12.9681574,77.6061899,High,0,61.782266433333334
vehicle_breakdown,12.9561486,77.7009942,High,0,37.483846299999996
vehicle_breakdown,12.9458905,77.5284091,High,0,39.58132188333333
congestion,13.041233,77.6223217,High,0,41.08258143333333
others,12.9653189,77.5842525,High,0,1862.94228465
water_logging,12.9063813,77.585974,High,0,3321.72448815
others,12.9424905,77.7467855,Low,0,567.0433455166666
tree_fall,12.9696333,77.603115,High,0,2191.5870473500004
vehicle_breakdown,13.030281,77.585662,High,0,110.65663531666668
pot_holes,13.1211683,77.6179233,Low,0,6478.14761105
tree_fall,12.9318535,77.5838672,Low,0,1938.8078038166668
tree_fall,12.9264413,77.5808446,Low,0,7741.090977233333
tree_fall,12.9216,77.5807633,Low,1,7725.8088132
tree_fall,12.9222233,77.5836883,Low,0,7714.292728683333
vehicle_breakdown,12.9841406,77.7519672,Low,0,75.83953751666667
others,12.953515,77.5003879,Low,0,19.413640933333333
vehicle_breakdown,13.0028466,77.5838445,High,0,21.48659638333333
vehicle_breakdown,12.9597916,77.6415806,High,0,10.285472433333332
vehicle_breakdown,12.9364,77.5185545,High,0,78.04236811666667
vehicle_breakdown,13.0293051,77.5402265,High,0,8.949905016666666
vehicle_breakdown,12.9608088,77.6386153,High,0,85.34070533333333
tree_fall,12.93269,77.5886561,Low,0,7684.336017833333
water_logging,12.9766224,77.6009202,High,0,6102.368835766667
vehicle_breakdown,13.0019858,77.5838626,High,0,74.08036368333335
vehicle_breakdown,12.9462817,77.6072168,High,0,57.48541201666667
accident,13.050612,77.5933747,High,0,16.25948615
vehicle_breakdown,13.0168373,77.5840601,High,0,88.67010386666668
vehicle_breakdown,13.0468824,77.5756714,High,0,49.33388356666667
road_conditions,12.9018662,77.6011464,High,0,41.26528335
vehicle_breakdown,13.0879383,77.5940317,High,0,35.9550146
vehicle_breakdown,13.0396997,77.5182903,High,0,11.41129385
accident,13.1250833,77.6124167,High,0,65.95049823333333
vehicle_breakdown,12.9800539,77.5727642,Low,0,110.95514761666666
vehicle_breakdown,12.85678142,77.66416602,Low,0,28.716758966666664
vehicle_breakdown,12.9679697,77.5909676,High,0,131.20510380000002
vehicle_breakdown,12.9567473,77.5342133,High,0,102.62026928333333
vehicle_breakdown,13.0286023,77.5361493,High,0,125.82290351666667
vehicle_breakdown,12.9875809,77.619241,Low,0,51.529733783333334
vehicle_breakdown,12.9614333,77.5606533,High,0,3.73901635
vehicle_breakdown,12.9436333,77.7471783,Low,0,18.3825912
vehicle_breakdown,13.0299352,77.5366387,High,0,7.900588366666667
vehicle_breakdown,12.9163228,77.570324,Low,0,14.79356025
vehicle_breakdown,13.0413323,77.6224696,High,0,100.59974936666667
vehicle_breakdown,12.9857333,77.5266267,High,0,102.56760073333334
others,12.9858915,77.5264086,High,0,156.8681104
others,13.019261,77.6558323,High,0,65.11967595
vehicle_breakdown,12.9627,77.5653883,High,0,46.61182065
vehicle_breakdown,13.0473308,77.5011321,Low,0,41.68652611666666
vehicle_breakdown,12.9560094,77.7279445,High,0,37.8018373
vehicle_breakdown,12.8883535,77.5620501,Low,0,118.13179021666666
vehicle_breakdown,13.0083988,77.6957918,Low,0,58.84397311666667
vehicle_breakdown,13.0014249,77.5837935,High,0,40.3799524
others,12.9834332,77.5950398,High,0,8750.818675366667
others,13.0454386,77.5020767,Low,0,187.72091528333334
vehicle_breakdown,13.044785,77.6266483,High,0,92.29220731666666
others,12.9775418,77.5742287,Low,0,48.6091393
accident,12.9011982,77.5443666,Low,0,4.357959916666667
vehicle_breakdown,12.9667804,77.5874869,High,0,4.0160994500000005
others,13.0391876,77.5193964,High,0,1303.7770233833332
vehicle_breakdown,12.9427928,77.5974063,Low,0,41.98896968333334
vehicle_breakdown,12.976579,77.5888679,Low,0,99.42997704999999
others,12.9096044,77.6762233,Low,0,2267.11059435
vehicle_breakdown,12.9636778,77.585023,High,0,49.17207883333333
vehicle_breakdown,13.0292386,77.5365365,High,0,7.371330166666667
vehicle_breakdown,12.9558203,77.7157905,High,0,59.29006258333333
vehicle_breakdown,12.9806035,77.5707879,Low,0,15.77857665
water_logging,12.9064837,77.5859033,High,0,6178.0393693333335
vehicle_breakdown,13.01855644,77.55852789,High,0,45.83979136666667
vehicle_breakdown,12.99612,77.5847715,High,0,105.14612633333333
vehicle_breakdown,13.0040559,77.5830881,High,0,27.93791925
vehicle_breakdown,13.0393024,77.5190934,High,0,12.276266133333333
tree_fall,12.9774516,77.580309,Low,1,56.79600258333333
vehicle_breakdown,13.0858183,77.5937033,High,0,45.69163531666666
vehicle_breakdown,12.9859933,77.5793638,Low,0,42.935636433333336
others,12.9540483,77.5913017,Low,0,280.83443520000003
others,12.9216667,77.6213533,High,0,26.72452003333333
vehicle_breakdown,12.9872076,77.5801517,Low,0,95.82774763333333
vehicle_breakdown,12.901769,77.7072031,Low,0,34.2924117
vehicle_breakdown,12.9842607,77.6002114,Low,0,129.19878353333334
vehicle_breakdown,13.0400857,77.5186436,High,0,19.84877475
others,12.9876992,77.5138278,High,0,611.3854716000001
vehicle_breakdown,12.995394,77.5505958,High,0,115.28882806666667
vehicle_breakdown,12.9757009,77.5572382,High,0,7.7180967
vehicle_breakdown,12.9591872,77.7012264,High,0,98.82358633333334
others,13.01862439,77.55800419,High,0,1327.4565705999998
vehicle_breakdown,13.04244,77.5917,High,0,12.097447016666667
vehicle_breakdown,12.9233673,77.6003486,High,0,10.48741705
vehicle_breakdown,13.051243,77.5079024,Low,0,73.79083653333333
vehicle_breakdown,12.9163992,77.6343214,High,0,40.523691066666665
vehicle_breakdown,12.9559951,77.5460193,High,0,25.035437483333332
vehicle_breakdown,12.9608839,77.5583387,High,0,48.54255426666667
vehicle_breakdown,12.9869252,77.5800472,Low,1,27.657876616666666
vehicle_breakdown,13.0299318,77.5364118,High,0,148.41387268333335
others,12.9625255,77.5948692,High,0,154.96781246666666
vehicle_breakdown,12.993745,77.5852617,High,0,29.79319548333333
vehicle_breakdown,12.8904509,77.5642971,Low,0,119.41805864999999
vehicle_breakdown,13.0157783,77.5729483,Low,0,30.14560906666667
vehicle_breakdown,12.9612079,77.5590824,High,0,79.44030501666666
vehicle_breakdown,13.0201267,77.65254,High,0,33.73741513333333
vehicle_breakdown,12.9417005,77.7471249,Low,0,71.70723046666667
vehicle_breakdown,12.9663381,77.5869429,High,0,41.48662983333334
tree_fall,12.9840583,77.5490758,High,0,31.80648258333333
vehicle_breakdown,12.8699916,77.6534081,High,0,47.110916849999995
others,13.01608,77.5840883,High,0,32.5370269
tree_fall,13.0702135,77.5650728,Low,0,358.28831121666667
vehicle_breakdown,13.0082792,77.694241,Low,0,95.20728398333334
vehicle_breakdown,12.8558596,77.6643521,Low,0,38.20984111666667
pot_holes,12.8996615,77.6008692,High,0,1487.2023295833335
vehicle_breakdown,12.9668588,77.5948388,High,0,20.381774716666666
water_logging,12.9554994,77.7176068,High,0,1484.0019410666669
construction,12.9584994,77.6017538,Low,1,5820.239507183333
accident,12.9350306,77.6918587,High,0,52.74507428333333
others,12.996365,77.6693982,High,0,1.0338238833333333
vehicle_breakdown,13.19304,77.6503512,Low,0,53.862429883333334
vehicle_breakdown,12.9568791,77.7010188,High,0,62.645947
vehicle_breakdown,12.9217117,77.6607233,High,0,1.2778825666666667
vehicle_breakdown,12.9822698,77.5674251,Low,0,58.697027133333336
vehicle_breakdown,12.957054,77.567463,Low,0,75.01906000000001
construction,12.936298,77.7054278,Low,0,969.3087973999999
vehicle_breakdown,12.9752244,77.5761558,Low,0,22.188365633333333
vehicle_breakdown,13.0031325,77.5841819,High,0,53.13025051666667
vehicle_breakdown,12.9276259,77.5460056,High,0,62.22422101666667
accident,12.9665363,77.5443086,Low,0,1.8313234166666668
vehicle_breakdown,13.0244934,77.7174868,Low,0,81.64968848333334
vehicle_breakdown,12.9592719,77.654759,High,0,15.971929466666667
vehicle_breakdown,12.9622744,77.5945028,Low,0,78.58225675
vehicle_breakdown,13.00279424,77.58406429,High,0,114.21673276666667
vehicle_breakdown,12.9563716,77.6949677,High,0,1.2535275166666666
vehicle_breakdown,13.00709146,77.58401066,High,0,49.60811926666667
construction,12.9362566,77.7054884,Low,0,366.65548681666667
others,12.9538444,77.543374,High,0,76.24653713333333
water_logging,12.9435587,77.5799456,Low,0,137.85110428333334
vehicle_breakdown,12.8860621,77.641471,High,0,79.27560286666667
vehicle_breakdown,12.9342472,77.6101148,High,0,96.84268413333332
others,12.9819597,77.5945755,High,0,75.09085913333334
vehicle_breakdown,12.9890204,77.5078025,High,0,17.01463426666667
vehicle_breakdown,13.0471916,77.5014881,Low,0,10.597155033333333
road_conditions,13.1816817,77.6939433,Low,0,1386.89255105
road_conditions,13.1111288,77.5797915,Low,0,5799.80037435
vehicle_breakdown,12.95713835,77.56971817,Low,1,39.4856103
vehicle_breakdown,13.045425,77.5054829,High,0,16.270418616666667
vehicle_breakdown,12.9790645,77.5156233,Low,0,138.70672721666668
accident,12.9663999,77.5870528,High,0,32.826353266666665
others,12.8980183,77.626445,Low,0,36.537950349999996
others,12.8897429,77.5634232,Low,0,29.108712066666666
vehicle_breakdown,13.0663282,77.6406836,Low,0,92.15842395
others,13.0422012,77.5146886,High,0,355.29140055
vehicle_breakdown,13.0026038,77.5839949,High,0,12.875058366666668
vehicle_breakdown,12.9384057,77.697696,High,0,6.304003066666667
vehicle_breakdown,12.9832891,77.5953313,High,0,83.6431582
vehicle_breakdown,12.9365505,77.5123592,High,0,54.19506535
vehicle_breakdown,13.0198211,77.7095427,Low,1,21.735800349999998
vehicle_breakdown,13.0198231,77.709122,Low,0,27.90641395
vehicle_breakdown,12.9937886,77.5849123,High,0,26.02119336666667
vehicle_breakdown,12.9801083,77.5708729,Low,1,2.318516516666667
vehicle_breakdown,12.9801735,77.5929881,High,0,25.868294600000002
vehicle_breakdown,13.0414102,77.5470988,High,0,70.6369603
vehicle_breakdown,12.9804886,77.5708977,Low,1,19.236815733333334
others,12.9360849,77.7056496,Low,0,3812.035816
congestion,13.0411557,77.6225932,High,0,81.69610738333334
vehicle_breakdown,13.039201,77.5203316,High,0,77.64849921666668
road_conditions,12.9694217,77.7007883,High,1,1.9296002833333332
construction,12.9693517,77.7006465,High,1,2852.1638163166667
vehicle_breakdown,12.9963614,77.6682457,High,0,43.703668050000005
vehicle_breakdown,13.0081647,77.6955524,Low,0,18.12563553333333
vehicle_breakdown,12.9568439,77.6751699,High,0,69.32541208333333
others,13.1209019,77.5763685,Low,0,43.829488833333336
vehicle_breakdown,12.9567235,77.5475467,High,0,107.36787663333332
vehicle_breakdown,13.0176013,77.5596392,High,0,141.42639348333333
water_logging,12.8996916,77.6010757,High,0,5883.57713725
vehicle_breakdown,13.0005948,77.6200809,Low,0,99.77792416666666
vehicle_breakdown,12.942454,77.622838,Low,0,71.35226383333334
vehicle_breakdown,13.0565039,77.5943245,High,0,60.9291782
vehicle_breakdown,12.9170307,77.5858757,Low,0,13.084814833333333
vehicle_breakdown,12.8905851,77.598181,High,0,10.573012383333333
pot_holes,12.9807943,77.6027084,High,0,6152.18195165
others,12.9363555,77.7054446,Low,0,9602.698774133334
vehicle_breakdown,13.0418851,77.5937286,High,0,42.808710616666666
pot_holes,12.9609276,77.6385425,High,0,6055.445450866667
vehicle_breakdown,13.0199453,77.5526338,High,0,29.313113633333334
vehicle_breakdown,13.0539229,77.5309493,Low,0,28.7572406
vehicle_breakdown,13.1841605,77.5665142,Low,0,83.15463388333333
vehicle_breakdown,12.9220685,77.6452956,High,0,27.226681883333335
vehicle_breakdown,12.9888459,77.5084844,High,0,33.101952716666666
vehicle_breakdown,13.0436361,77.6023637,High,0,64.03269065
vehicle_breakdown,12.9529107,77.5414651,High,0,21.942543016666665
others,12.9900024,77.5886416,High,0,4.012004933333333
vehicle_breakdown,13.084527,77.5502631,Low,1,24.017026933333334
vehicle_breakdown,12.9523244,77.5412771,High,0,9.573394949999999
others,12.9900342,77.5886347,High,0,3801.1654547
congestion,13.0414031,77.6222596,High,0,70.369317
vehicle_breakdown,12.9171408,77.5871072,Low,0,14.661646350000002
tree_fall,13.0184029,77.5840124,High,0,20.392180399999997
vehicle_breakdown,12.9630288,77.5956645,High,0,35.98495698333333
vehicle_breakdown,13.0301289,77.6308545,High,0,64.49834003333333
water_logging,12.9573525,77.5522228,High,0,1341.8618717
water_logging,12.9960033,77.5847614,High,0,3913.5393192166666
vehicle_breakdown,12.9201367,77.6653608,High,0,32.482557983333336
others,13.0400366,77.5180661,High,1,425.9449986166667
others,13.1021402,77.5863437,Low,1,3387.139090366667
vehicle_breakdown,13.0198509,77.7095301,Low,1,68.54527198333334
vehicle_breakdown,13.1764266,77.6358722,High,0,141.574881
vehicle_breakdown,13.0195099,77.7089706,Low,0,87.93818821666667
water_logging,12.975208,77.6067009,High,0,36.627531100000006
vehicle_breakdown,13.0996569,77.5888485,Low,0,60.76119708333333
vehicle_breakdown,12.9630808,77.5850315,High,1,33.748134783333334
vehicle_breakdown,12.9240053,77.6726147,High,0,3.437997633333333
vehicle_breakdown,13.0420868,77.5150301,High,0,114.61164653333334
vehicle_breakdown,12.9665042,77.6075367,High,0,95.59043028333333
vehicle_breakdown,12.906819,77.6288036,High,0,11.97852685
vehicle_breakdown,12.9900274,77.5051489,High,0,24.2304184
vehicle_breakdown,12.9571556,77.5510504,High,0,22.292497583333333
others,13.0716765,77.5931489,High,0,76.19266588333333
vehicle_breakdown,12.9399901,77.6955035,High,0,109.25451818333333
vehicle_breakdown,13.0236136,77.599707,Low,0,89.5580396
vehicle_breakdown,12.9750333,77.5855417,Low,0,20.751736666666666
others,13.02652,77.7205359,Low,0,180.91461453333335
vehicle_breakdown,13.0197621,77.7088026,Low,0,62.10533875
vehicle_breakdown,13.1758867,77.6357701,High,0,4.185284566666667
construction,13.0483105,77.6452213,Low,0,365.8770966
vehicle_breakdown,13.0333853,77.5409753,High,0,47.697048333333335
construction,13.0379671,77.6258529,High,0,4766.704643183333
vehicle_breakdown,12.907183,77.600723,High,0,62.15927346666667
water_logging,13.1104781,77.5800625,Low,0,1638.5179018833333
vehicle_breakdown,13.0483814,77.6455068,Low,0,12.48767995
vehicle_breakdown,12.907229,77.6007892,High,0,27.9523293
vehicle_breakdown,12.9363562,77.7053961,Low,0,63.467518033333334
construction,12.9098753,77.54994617,Low,0,624.2569785666667
vehicle_breakdown,13.0177383,77.5573517,High,0,25.9073017
vehicle_breakdown,13.0454864,77.5020961,Low,0,17.485272716666667
vehicle_breakdown,12.9485754,77.5929669,Low,0,80.1326431
vehicle_breakdown,13.1903461,77.6453381,High,0,29.472658016666667
vehicle_breakdown,13.0041761,77.5537173,Low,0,32.38240151666667
vehicle_breakdown,12.9654216,77.6175057,Low,1,130.85829606666667
vehicle_breakdown,12.96594,77.6253299,Low,0,42.75810368333334
vehicle_breakdown,12.9632557,77.6414175,High,0,2.195204283333333
vehicle_breakdown,13.0292483,77.5709898,Low,0,3.172573133333333
vehicle_breakdown,12.9959916,77.6672023,High,0,126.05797051666667
vehicle_breakdown,12.9843255,77.6412465,High,0,65.22508308333333
vehicle_breakdown,13.0142943,77.5832533,High,0,68.5412746
vehicle_breakdown,12.960562,77.5042188,Low,0,48.842927616666664
vehicle_breakdown,13.0065682,77.5838844,High,0,25.324214433333335
vehicle_breakdown,12.900384,77.5858132,Low,0,5.6324983500000005
vehicle_breakdown,13.0436325,77.5533837,High,0,20.49097971666667
vehicle_breakdown,12.9320791,77.5414884,High,0,22.541880900000002
pot_holes,13.001119,77.5839711,High,0,5667.63702295
vehicle_breakdown,12.9891602,77.5068983,High,0,8.242330166666667
vehicle_breakdown,13.0357448,77.7353443,Low,0,74.69350561666667
vehicle_breakdown,13.1834435,77.6797495,Low,0,21.15403888333333
vehicle_breakdown,13.0366572,77.5243125,High,0,18.911796083333336
vehicle_breakdown,13.019521,77.7087876,Low,0,15.905597883333334
vehicle_breakdown,12.9599092,77.504205,Low,0,18.743594383333335
vehicle_breakdown,13.0355923,77.5263597,High,0,30.207270483333332
vehicle_breakdown,12.9929641,77.5951316,Low,0,128.41844893333334
congestion,13.0411065,77.617027,High,0,87.10293336666668
pot_holes,12.969761,77.7501885,Low,0,1489.0271123833334
pot_holes,12.9698642,77.7500164,Low,0,1490.3736745166668
vehicle_breakdown,13.0073126,77.6624143,High,0,32.5034449
vehicle_breakdown,13.0018232,77.6791257,High,0,66.92851234999999
pot_holes,12.9698642,77.7500164,Low,0,1490.3403477333334
others,12.9124406,77.4851732,High,0,119.54685436666666
tree_fall,12.9938878,77.5891555,Low,1,79.37274963333333
vehicle_breakdown,12.9831235,77.5308168,High,0,153.41269573333332
accident,13.0036733,77.6631733,High,0,52.03779613333334
vehicle_breakdown,13.008416,77.6925609,Low,0,1.8039698333333334
vehicle_breakdown,12.9060449,77.5857343,High,0,27.9779026
vehicle_breakdown,13.0096382,77.5059421,Low,0,77.07247735
vehicle_breakdown,13.008416,77.6925609,Low,0,2.0421352666666666
others,12.9592367,77.5557324,High,0,3.8131514166666665
vehicle_breakdown,12.964071,77.5698422,High,0,35.12267365
tree_fall,12.9587673,77.5740072,Low,0,56.49172753333333
vehicle_breakdown,13.0126029,77.5544554,High,0,49.20473728333333
vehicle_breakdown,13.0166638,77.5836457,High,1,37.30351836666667
vehicle_breakdown,13.0295902,77.537008,High,0,72.88357673333333
